    PID    PPID USER     COMMAND         COMMAND
      1       0 root     systemd         /sbin/init
      2       0 root     kthreadd        [kthreadd]
      3       2 root     pool_workqueue_ [pool_workqueue_release]
      4       2 root     kworker/R-rcu_g [kworker/R-rcu_g]
      5       2 root     kworker/R-rcu_p [kworker/R-rcu_p]
      6       2 root     kworker/R-slub_ [kworker/R-slub_]
      7       2 root     kworker/R-netns [kworker/R-netns]
      8       2 root     kworker/0:0-eve [kworker/0:0-events]
      9       2 root     kworker/0:0H-kb [kworker/0:0H-kblockd]
     10       2 root     kworker/0:1-eve [kworker/0:1-events]
     11       2 root     kworker/u256:0- [kworker/u256:0-ipv6_addrconf]
     12       2 root     kworker/R-mm_pe [kworker/R-mm_pe]
     13       2 root     rcu_tasks_kthre [rcu_tasks_kthread]
     14       2 root     rcu_tasks_rude_ [rcu_tasks_rude_kthread]
     15       2 root     rcu_tasks_trace [rcu_tasks_trace_kthread]
     16       2 root     ksoftirqd/0     [ksoftirqd/0]
     17       2 root     rcu_preempt     [rcu_preempt]
     18       2 root     migration/0     [migration/0]
     19       2 root     idle_inject/0   [idle_inject/0]
     20       2 root     cpuhp/0         [cpuhp/0]
     21       2 root     cpuhp/1         [cpuhp/1]
     22       2 root     idle_inject/1   [idle_inject/1]
     23       2 root     migration/1     [migration/1]
     24       2 root     ksoftirqd/1     [ksoftirqd/1]
     25       2 root     kworker/1:0-eve [kworker/1:0-events]
     26       2 root     kworker/1:0H-ev [kworker/1:0H-events_highpri]
     27       2 root     kworker/u257:0- [kworker/u257:0-flush-252:0]
     28       2 root     kworker/u258:0- [kworker/u258:0-events_unbound]
     29       2 root     kdevtmpfs       [kdevtmpfs]
     30       2 root     kworker/R-inet_ [kworker/R-inet_]
     31       2 root     kauditd         [kauditd]
     32       2 root     kworker/0:2-eve [kworker/0:2-events]
     33       2 root     khungtaskd      [khungtaskd]
     34       2 root     oom_reaper      [oom_reaper]
     35       2 root     kworker/u257:1- [kworker/u257:1-flush-252:0]
     36       2 root     kworker/R-write [kworker/R-write]
     37       2 root     kworker/u257:2- [kworker/u257:2-writeback]
     38       2 root     kcompactd0      [kcompactd0]
     39       2 root     ksmd            [ksmd]
     40       2 root     kworker/1:1-rcu [kworker/1:1-rcu_par_gp]
     41       2 root     kworker/1:2-cgr [kworker/1:2-cgroup_free]
     42       2 root     khugepaged      [khugepaged]
     43       2 root     kworker/R-kinte [kworker/R-kinte]
     44       2 root     kworker/R-kbloc [kworker/R-kbloc]
     45       2 root     kworker/R-blkcg [kworker/R-blkcg]
     46       2 root     irq/9-acpi      [irq/9-acpi]
     47       2 root     kworker/R-tpm_d [kworker/R-tpm_d]
     48       2 root     kworker/R-ata_s [kworker/R-ata_s]
     49       2 root     kworker/R-md    [kworker/R-md]
     50       2 root     kworker/R-md_bi [kworker/R-md_bi]
     51       2 root     kworker/R-edac- [kworker/R-edac-]
     52       2 root     kworker/R-devfr [kworker/R-devfr]
     53       2 root     watchdogd       [watchdogd]
     54       2 root     kworker/R-quota [kworker/R-quota]
     55       2 root     kworker/u258:1- [kworker/u258:1-events_unbound]
     56       2 root     kworker/1:1H-kb [kworker/1:1H-kblockd]
     57       2 root     kswapd0         [kswapd0]
     58       2 root     ecryptfs-kthrea [ecryptfs-kthread]
     59       2 root     kworker/R-kthro [kworker/R-kthro]
     60       2 root     irq/24-pciehp   [irq/24-pciehp]
     61       2 root     irq/25-pciehp   [irq/25-pciehp]
     62       2 root     irq/26-pciehp   [irq/26-pciehp]
     63       2 root     irq/27-pciehp   [irq/27-pciehp]
     64       2 root     irq/28-pciehp   [irq/28-pciehp]
     65       2 root     irq/29-pciehp   [irq/29-pciehp]
     66       2 root     irq/30-pciehp   [irq/30-pciehp]
     67       2 root     irq/31-pciehp   [irq/31-pciehp]
     68       2 root     irq/32-pciehp   [irq/32-pciehp]
     69       2 root     irq/33-pciehp   [irq/33-pciehp]
     70       2 root     irq/34-pciehp   [irq/34-pciehp]
     71       2 root     irq/35-pciehp   [irq/35-pciehp]
     72       2 root     irq/36-pciehp   [irq/36-pciehp]
     73       2 root     irq/37-pciehp   [irq/37-pciehp]
     74       2 root     irq/38-pciehp   [irq/38-pciehp]
     75       2 root     irq/39-pciehp   [irq/39-pciehp]
     76       2 root     irq/40-pciehp   [irq/40-pciehp]
     77       2 root     irq/41-pciehp   [irq/41-pciehp]
     78       2 root     irq/42-pciehp   [irq/42-pciehp]
     79       2 root     irq/43-pciehp   [irq/43-pciehp]
     80       2 root     irq/44-pciehp   [irq/44-pciehp]
     81       2 root     irq/45-pciehp   [irq/45-pciehp]
     82       2 root     irq/46-pciehp   [irq/46-pciehp]
     83       2 root     irq/47-pciehp   [irq/47-pciehp]
     84       2 root     irq/48-pciehp   [irq/48-pciehp]
     85       2 root     irq/49-pciehp   [irq/49-pciehp]
     86       2 root     irq/50-pciehp   [irq/50-pciehp]
     87       2 root     irq/51-pciehp   [irq/51-pciehp]
     88       2 root     irq/52-pciehp   [irq/52-pciehp]
     89       2 root     irq/53-pciehp   [irq/53-pciehp]
     90       2 root     irq/54-pciehp   [irq/54-pciehp]
     91       2 root     irq/55-pciehp   [irq/55-pciehp]
     92       2 root     kworker/R-acpi_ [kworker/R-acpi_]
     93       2 root     kworker/u258:2- [kworker/u258:2-events_power_efficient]
     94       2 root     scsi_eh_0       [scsi_eh_0]
     95       2 root     kworker/R-scsi_ [kworker/R-scsi_]
     96       2 root     scsi_eh_1       [scsi_eh_1]
     97       2 root     kworker/R-scsi_ [kworker/R-scsi_]
     98       2 root     kworker/u258:3- [kworker/u258:3-events_unbound]
     99       2 root     kworker/u258:4- [kworker/u258:4-events_unbound]
    100       2 root     kworker/R-mld   [kworker/R-mld]
    101       2 root     kworker/R-ipv6_ [kworker/R-ipv6_]
    102       2 root     kworker/u256:1- [kworker/u256:1-ext4-rsv-conversion]
    104       2 root     kworker/u258:5- [kworker/u258:5-events_unbound]
    110       2 root     kworker/R-kstrp [kworker/R-kstrp]
    112       2 root     kworker/u259:0  [kworker/u259:0]
    113       2 root     kworker/u260:0  [kworker/u260:0]
    114       2 root     kworker/u261:0  [kworker/u261:0]
    119       2 root     kworker/R-crypt [kworker/R-crypt]
    120       2 root     kworker/1:3-rcu [kworker/1:3-rcu_par_gp]
    129       2 root     kworker/R-charg [kworker/R-charg]
    154       2 root     kworker/0:1H-kb [kworker/0:1H-kblockd]
    195       2 root     kworker/R-mpt_p [kworker/R-mpt_p]
    196       2 root     kworker/R-mpt/0 [kworker/R-mpt/0]
    197       2 root     scsi_eh_2       [scsi_eh_2]
    198       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    199       2 root     scsi_eh_3       [scsi_eh_3]
    200       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    201       2 root     scsi_eh_4       [scsi_eh_4]
    202       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    203       2 root     scsi_eh_5       [scsi_eh_5]
    204       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    205       2 root     scsi_eh_6       [scsi_eh_6]
    206       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    207       2 root     scsi_eh_7       [scsi_eh_7]
    208       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    209       2 root     scsi_eh_8       [scsi_eh_8]
    210       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    211       2 root     scsi_eh_9       [scsi_eh_9]
    212       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    213       2 root     scsi_eh_10      [scsi_eh_10]
    214       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    215       2 root     scsi_eh_11      [scsi_eh_11]
    216       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    217       2 root     scsi_eh_12      [scsi_eh_12]
    218       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    219       2 root     scsi_eh_13      [scsi_eh_13]
    220       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    221       2 root     scsi_eh_14      [scsi_eh_14]
    222       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    223       2 root     scsi_eh_15      [scsi_eh_15]
    224       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    225       2 root     scsi_eh_16      [scsi_eh_16]
    226       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    227       2 root     scsi_eh_17      [scsi_eh_17]
    228       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    229       2 root     scsi_eh_18      [scsi_eh_18]
    230       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    231       2 root     scsi_eh_19      [scsi_eh_19]
    232       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    233       2 root     scsi_eh_20      [scsi_eh_20]
    234       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    235       2 root     scsi_eh_21      [scsi_eh_21]
    236       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    237       2 root     scsi_eh_22      [scsi_eh_22]
    238       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    239       2 root     scsi_eh_23      [scsi_eh_23]
    240       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    241       2 root     scsi_eh_24      [scsi_eh_24]
    242       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    243       2 root     scsi_eh_25      [scsi_eh_25]
    244       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    245       2 root     scsi_eh_26      [scsi_eh_26]
    246       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    247       2 root     scsi_eh_27      [scsi_eh_27]
    248       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    249       2 root     scsi_eh_28      [scsi_eh_28]
    250       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    251       2 root     scsi_eh_29      [scsi_eh_29]
    252       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    253       2 root     scsi_eh_30      [scsi_eh_30]
    254       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    255       2 root     scsi_eh_31      [scsi_eh_31]
    256       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    257       2 root     kworker/u258:6- [kworker/u258:6-events_unbound]
    258       2 root     kworker/u258:7- [kworker/u258:7-events_unbound]
    259       2 root     kworker/u258:8- [kworker/u258:8-events_unbound]
    260       2 root     kworker/u258:9- [kworker/u258:9-events_unbound]
    261       2 root     kworker/u258:10 [kworker/u258:10-events_unbound]
    262       2 root     kworker/u258:11 [kworker/u258:11-events_unbound]
    263       2 root     kworker/u258:12 [kworker/u258:12-events_unbound]
    264       2 root     kworker/u258:13 [kworker/u258:13-events_unbound]
    265       2 root     kworker/u258:14 [kworker/u258:14-events_unbound]
    266       2 root     kworker/u258:15 [kworker/u258:15-events_unbound]
    267       2 root     kworker/u258:16 [kworker/u258:16-events_unbound]
    268       2 root     kworker/u258:17 [kworker/u258:17-events_unbound]
    269       2 root     kworker/u258:18 [kworker/u258:18-events_unbound]
    270       2 root     kworker/u258:19 [kworker/u258:19-events_unbound]
    271       2 root     kworker/u258:20 [kworker/u258:20-events_unbound]
    272       2 root     kworker/u258:21 [kworker/u258:21-events_unbound]
    273       2 root     kworker/u258:22 [kworker/u258:22-events_unbound]
    274       2 root     kworker/u258:23 [kworker/u258:23-events_power_efficient]
    275       2 root     kworker/u258:24 [kworker/u258:24-events_unbound]
    276       2 root     kworker/u258:25 [kworker/u258:25-events_unbound]
    277       2 root     kworker/u258:26 [kworker/u258:26-events_unbound]
    278       2 root     kworker/u258:27 [kworker/u258:27-events_unbound]
    279       2 root     kworker/u258:28 [kworker/u258:28-events_power_efficient]
    280       2 root     kworker/u258:29 [kworker/u258:29-flush-252:0]
    281       2 root     kworker/u258:30 [kworker/u258:30-events_unbound]
    282       2 root     kworker/u258:31 [kworker/u258:31-events_unbound]
    283       2 root     scsi_eh_32      [scsi_eh_32]
    284       2 root     kworker/R-scsi_ [kworker/R-scsi_]
    285       2 root     kworker/u258:32 [kworker/u258:32-events_power_efficient]
    303       2 root     kworker/R-kdmfl [kworker/R-kdmfl]
    336       2 root     kworker/R-raid5 [kworker/R-raid5]
    375       2 root     jbd2/dm-0-8     [jbd2/dm-0-8]
    376       2 root     kworker/R-ext4- [kworker/R-ext4-]
    443       1 root     systemd-journal /usr/lib/systemd/systemd-journald
    468       2 root     kworker/0:3-eve [kworker/0:3-events]
    469       2 root     kworker/R-kmpat [kworker/R-kmpat]
    470       2 root     kworker/R-kmpat [kworker/R-kmpat]
    471       2 root     kworker/u257:3- [kworker/u257:3-events_power_efficient]
    479       1 root     multipathd      /sbin/multipathd -d -s
    483       2 root     kworker/u257:4- [kworker/u257:4-flush-252:0]
    518       1 root     systemd-udevd   /usr/lib/systemd/systemd-udevd
    523       2 root     psimon          [psimon]
    604       2 root     jbd2/sda2-8     [jbd2/sda2-8]
    605       2 root     kworker/R-ext4- [kworker/R-ext4-]
    634       1 systemd+ systemd-network /usr/lib/systemd/systemd-networkd
    651       1 systemd+ systemd-resolve /usr/lib/systemd/systemd-resolved
    652       1 systemd+ systemd-timesyn /usr/lib/systemd/systemd-timesyncd
    659       1 root     auditd          /sbin/auditd
    703       2 root     audit_prune_tre [audit_prune_tree]
    705       2 root     kworker/0:4-eve [kworker/0:4-events]
    706       2 root     kworker/0:5-eve [kworker/0:5-events]
    707       2 root     kworker/0:6-cgr [kworker/0:6-cgroup_free]
    708       2 root     kworker/0:7-cgr [kworker/0:7-cgroup_release]
    709       2 root     kworker/0:8-eve [kworker/0:8-events]
    710       2 root     kworker/0:9-rcu [kworker/0:9-rcu_gp]
    711       2 root     kworker/0:10-rc [kworker/0:10-rcu_par_gp]
    712       2 root     kworker/0:11    [kworker/0:11]
    724       2 root     kworker/R-cfg80 [kworker/R-cfg80]
    766       2 root     irq/60-vmw_vmci [irq/60-vmw_vmci]
    767       2 root     irq/61-vmw_vmci [irq/61-vmw_vmci]
    768       2 root     irq/62-vmw_vmci [irq/62-vmw_vmci]
    785       1 root     VGAuthService   /usr/bin/VGAuthService
    786       1 root     vmtoolsd        /usr/bin/vmtoolsd
    804       1 message+ dbus-daemon     @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    856       1 polkitd  polkitd         /usr/lib/polkit-1/polkitd --no-debug
    861       2 root     irq/16-vmwgfx   [irq/16-vmwgfx]
    862       2 root     kworker/R-ttm   [kworker/R-ttm]
    866       1 root     snapd           /usr/lib/snapd/snapd
    869       1 root     systemd-logind  /usr/lib/systemd/systemd-logind
    870       1 root     udisksd         /usr/libexec/udisks2/udisksd
    917       1 syslog   rsyslogd        /usr/sbin/rsyslogd -n -iNONE
    936       1 root     ModemManager    /usr/sbin/ModemManager
    947       2 root     kworker/0:2H-kb [kworker/0:2H-kblockd]
   1270       1 root     cron            /usr/sbin/cron -f -P
   1286       1 root     agetty          /sbin/agetty -o -p -- \u --noclear - linux
   1303       1 root     wazuh-execd     /var/ossec/bin/wazuh-execd
   1314       1 wazuh    wazuh-agentd    /var/ossec/bin/wazuh-agentd
   1328       1 root     wazuh-syscheckd /var/ossec/bin/wazuh-syscheckd
   1342       1 root     wazuh-logcollec /var/ossec/bin/wazuh-logcollector
   1380       1 root     wazuh-modulesd  /var/ossec/bin/wazuh-modulesd
   1524       1 root     sshd            sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
   3748    1524 root     sshd            sshd: angel [priv]
   3751       2 root     psimon          [psimon]
   3753       1 angel    systemd         /usr/lib/systemd/systemd --user
   3754    3753 angel    (sd-pam)        (sd-pam)
   3810    3748 angel    sshd            sshd: angel@notty
   3811    3810 angel    bash            bash /tmp/ata013_stage_post.sh
   3816    3811 angel    ps              ps -eo pid,ppid,user,comm,args --sort=pid
